channel_type_id	status	description	direction	signals	compatible_channel_types	linked documentation	lower limit	upper limit	limit units	capacity	capacity units
0		placeholder		placeholder	"(0, 'https://github.com/harnice/harnice-library-public')"						
1		balanced audio mic level	in	"pos,neg"	"(2, 'https://github.com/harnice/harnice-library-public')"						
2		balanced audio mic level	out	"pos,neg"	"(1, 'https://github.com/harnice/harnice-library-public')"						
3		balanced audio line level	in	"pos,neg"	"(4, 'https://github.com/harnice/harnice-library-public')"						
4		balanced audio line level	out	"pos,neg"	"(3, 'https://github.com/harnice/harnice-library-public')"						
5		chassis ground		chassis	"(5, 'https://github.com/harnice/harnice-library-public')"						
6		balanced audio mic level with shield	in	"pos,neg,shield"	"(7, 'https://github.com/harnice/harnice-library-public')"						
7		balanced audio mic level with shield	out	"pos,neg,shield"	"(6, 'https://github.com/harnice/harnice-library-public')"						
8		balanced audio line level with shield	in	"pos,neg,shield"	"(9, 'https://github.com/harnice/harnice-library-public')"						
9		balanced audio line level with shield	out	"pos,neg,shield"	"(8, 'https://github.com/harnice/harnice-library-public')"						
10		solar power	in	"pos,neg"	"(11, 'https://github.com/harnice/harnice-library-public')"		14	50	VDC	50	amps
11		solar power	out	"pos,neg"	"(10, 'https://github.com/harnice/harnice-library-public')"						
12		12vdc load	in	"pos,neg"	"(13, 'https://github.com/harnice/harnice-library-public')"						
13		12vdc supply	out	"pos,neg"	"(12, 'https://github.com/harnice/harnice-library-public')"		12	12	VDC	10	amps
14		usbc power only load	in	all	"(15, 'https://github.com/harnice/harnice-library-public'),(16, 'https://github.com/harnice/harnice-library-public')"						
15		usbc 60w power delivery	out	all			5	20	VDC	60	watts
16		usbc 18w low power	out	all			5	12	VDC	18	watts
17		North American 120VAC 15A	out	"live,neutral,earth"	"(18, 'https://github.com/harnice/harnice-library-public')"		110	125	VAC	15	amps
18		North American 120VAC 15A	in	"live,neutral,earth"	"(17, 'https://github.com/harnice/harnice-library-public')"		110	125	VAC	15	amps
19		12vdc supply	out	"pos,neg"	"(12, 'https://github.com/harnice/harnice-library-public')"		12	12	VDC	30	amps
20		solar power	in	"pos,neg"	"(11, 'https://github.com/harnice/harnice-library-public')"		14	50	VDC	10	amps
21		12vdc supply	out	"pos,neg"	"(12, 'https://github.com/harnice/harnice-library-public')"		12	12	VDC	13	amps
22		5vdc supply	out	"pos,neg"			5	5	VDC	2.4	amps
23		dimmable 120vac load	in	"live,neutral,earth"	"(24, 'https://github.com/harnice/harnice-library-public');(17, 'https://github.com/harnice/harnice-library-public')"		0	125	VAC	15	amps
24		120vac dimmer output		"live,neutral,earth"			0	125	VAC	15	amps
