channel	channel_type_id	compatible_channel_ids	signal	connector	connector_mpn	contact
ch1.adc	1		chassis	J1	DB9_F	
ch1.excite	2		pos	J1	DB9_F	
ch1.excite	2		neg	J1	DB9_F	
ch2.adc	1		chassis	J2	DB9_F	
ch2.excite	2		pos	J2	DB9_F	
ch2.excite	2		neg	J2	DB9_F	
ch3.adc	1		chassis	J3	DB9_F	
ch3.excite	2		pos	J3	DB9_F	
ch3.excite	2		neg	J3	DB9_F	
ch4.adc	1		chassis	J4	DB9_F	
ch4.excite	2		pos	J4	DB9_F	
ch4.excite	2		neg	J4	DB9_F	
ch5.adc	1		chassis	J5	DB9_F	
ch5.excite	2		pos	J5	DB9_F	
ch5.excite	2		neg	J5	DB9_F	
