channel_id	signal	connector_name	cavity	connector_mpn	channel_type
12vdc_barrel_out-1	pos	12vdc_barrel_out-1	pin	GOALZERO_6MM_BARREL_RECEPT	(13, 'https://github.com/harnice/harnice-library-public')
12vdc_barrel_out-1	neg	12vdc_barrel_out-1	ring	GOALZERO_6MM_BARREL_RECEPT	(13, 'https://github.com/harnice/harnice-library-public')
12vdc_barrel_out-2	pos	12vdc_barrel_out-2	pin	GOALZERO_6MM_BARREL_RECEPT	(13, 'https://github.com/harnice/harnice-library-public')
12vdc_barrel_out-2	neg	12vdc_barrel_out-2	ring	GOALZERO_6MM_BARREL_RECEPT	(13, 'https://github.com/harnice/harnice-library-public')
charge_in-barrel	pos	charge_in-barrel	pin	GOALZERO_8MM_BARREL_RECEPT	(20, 'https://github.com/harnice/harnice-library-public')
charge_in-barrel	neg	charge_in-barrel	ring	GOALZERO_8MM_BARREL_RECEPT	(20, 'https://github.com/harnice/harnice-library-public')
car_port	pos	car_port	pin	CIG_LIGHTER_RECEPT	(21, 'https://github.com/harnice/harnice-library-public')
car_port	neg	car_port	ring	CIG_LIGHTER_RECEPT	(21, 'https://github.com/harnice/harnice-library-public')
charge_in-powerpole	pos	charge_in-powerpole	red	PP15-2_RECEPT	(10, 'https://github.com/harnice/harnice-library-public')
charge_in-powerpole	neg	charge_in-powerpole	black	PP15-2_RECEPT	(10, 'https://github.com/harnice/harnice-library-public')
12vdc_powerpole_out	pos	12vdc_powerpole_out	red	PP15-2_RECEPT	(19, 'https://github.com/harnice/harnice-library-public')
12vdc_powerpole_out	neg	12vdc_powerpole_out	black	PP15-2_RECEPT	(19, 'https://github.com/harnice/harnice-library-public')
usbc-pd	all	usbc-pd	all	USBC_RECEPT	(15, 'https://github.com/harnice/harnice-library-public')
usbc-normal	all	usbc-normal	all	USBC_RECEPT	(16, 'https://github.com/harnice/harnice-library-public')
usba-1	pos	usba-1	1	USBA_RECEPT	(22, 'https://github.com/harnice/harnice-library-public')
usba-1	neg	usba-1	4	USBA_RECEPT	(22, 'https://github.com/harnice/harnice-library-public')
usba-2	pos	usba-2	1	USBA_RECEPT	(22, 'https://github.com/harnice/harnice-library-public')
usba-2	neg	usba-2	4	USBA_RECEPT	(22, 'https://github.com/harnice/harnice-library-public')
AC_out-1	live	AC_out-1	live	NEMA_5-15R	(17, 'https://github.com/harnice/harnice-library-public')
AC_out-1	neutral	AC_out-1	neutral	NEMA_5-15R	(17, 'https://github.com/harnice/harnice-library-public')
AC_out-1	earth	AC_out-1	earth	NEMA_5-15R	(17, 'https://github.com/harnice/harnice-library-public')
AC_out-2	live	AC_out-2	live	NEMA_5-15R	(17, 'https://github.com/harnice/harnice-library-public')
AC_out-2	neutral	AC_out-2	neutral	NEMA_5-15R	(17, 'https://github.com/harnice/harnice-library-public')
AC_out-2	earth	AC_out-2	earth	NEMA_5-15R	(17, 'https://github.com/harnice/harnice-library-public')
